recno,Name,RAJ2000,DEJ2000,z,logsigma,e_logsigma,logLXbol
268,"Abell 2589",351.0020833333333,16.82472222222222,0.041,2.7,0.08,44.53
269,"Abell 2593",351.1291666666666,14.641388888888887,0.041,2.85,0.06,44.3
270,"SRGB 037",352.1941666666666,3.5136111111111106,0.017,2.62,0.06,42.51
271,"Abell 4010",352.7929166666666,-36.50722222222222,0.096,2.8,0.08,45.09
272,"Abell 2626",354.1291666666666,21.159999999999997,0.055,2.82,0.06,44.51
273,"Abell 2634",354.5766666666666,27.026944444444442,0.031,2.85,0.05,44.2
274,"Abell 2657",356.2125,9.144444444444444,0.04,2.82,0.13,44.45
275,"HCG 97",356.84999999999997,-2.3188888888888886,0.023,2.37,0.05,43.01
276,"Abell 4038",356.8795833333333,-28.202777777777772,0.03,2.95,0.06,44.52
277,"Abell 2666",357.7341666666666,27.144722222222217,0.027,2.68,0.07,42.7
278,"NGC 7777GRP",358.38749999999993,28.57833333333333,0.023,2.06,0.13,41.75
279,"Abell 2670",358.54208333333327,-10.405,0.076,2.96,0.03,44.7
280,"Abell 4059",359.16958333333326,-34.67166666666666,0.048,2.93,0.11,44.76
